q_type,attribute,category,question,polarity,gt,choice_1,choice_2,choice_3,choice_4
boolean,Brittleness,chocolate_mousse,chocolate_mousse is more brittle than vest.,pos,True,True,False,N/A,N/A
boolean,Brittleness,chocolate_mousse,vest is more brittle than chocolate_mousse.,pos,False,True,False,N/A,N/A
boolean,Brittleness,chocolate_mousse,vest is less brittle than chocolate_mousse.,neg,True,True,False,N/A,N/A
boolean,Brittleness,chocolate_mousse,chocolate_mousse is less brittle than vest.,neg,False,True,False,N/A,N/A
boolean,Brittleness,yogurt,yogurt is more brittle than drumstick.,pos,True,True,False,N/A,N/A
boolean,Brittleness,yogurt,drumstick is more brittle than yogurt.,pos,False,True,False,N/A,N/A
boolean,Brittleness,yogurt,drumstick is less brittle than yogurt.,neg,True,True,False,N/A,N/A
boolean,Brittleness,yogurt,yogurt is less brittle than drumstick.,neg,False,True,False,N/A,N/A
boolean,Brittleness,egg_yolk,egg_yolk is more brittle than headscarf.,pos,True,True,False,N/A,N/A
boolean,Brittleness,egg_yolk,headscarf is more brittle than egg_yolk.,pos,False,True,False,N/A,N/A
boolean,Brittleness,egg_yolk,headscarf is less brittle than egg_yolk.,neg,True,True,False,N/A,N/A
boolean,Brittleness,egg_yolk,egg_yolk is less brittle than headscarf.,neg,False,True,False,N/A,N/A
boolean,Brittleness,soup_bowl,soup_bowl is more brittle than oar.,pos,True,True,False,N/A,N/A
boolean,Brittleness,soup_bowl,oar is more brittle than soup_bowl.,pos,False,True,False,N/A,N/A
boolean,Brittleness,soup_bowl,oar is less brittle than soup_bowl.,neg,True,True,False,N/A,N/A
boolean,Brittleness,soup_bowl,soup_bowl is less brittle than oar.,neg,False,True,False,N/A,N/A
boolean,Brittleness,soup_bowl,soup_bowl is more brittle than shower_curtain.,pos,True,True,False,N/A,N/A
boolean,Brittleness,soup_bowl,shower_curtain is more brittle than soup_bowl.,pos,False,True,False,N/A,N/A
boolean,Brittleness,soup_bowl,shower_curtain is less brittle than soup_bowl.,neg,True,True,False,N/A,N/A
boolean,Brittleness,soup_bowl,soup_bowl is less brittle than shower_curtain.,neg,False,True,False,N/A,N/A
boolean,Brittleness,cupcake,cupcake is more brittle than apron.,pos,True,True,False,N/A,N/A
boolean,Brittleness,cupcake,apron is more brittle than cupcake.,pos,False,True,False,N/A,N/A
boolean,Brittleness,cupcake,apron is less brittle than cupcake.,neg,True,True,False,N/A,N/A
boolean,Brittleness,cupcake,cupcake is less brittle than apron.,neg,False,True,False,N/A,N/A
boolean,Brittleness,egg,egg is more brittle than washcloth.,pos,True,True,False,N/A,N/A
boolean,Brittleness,egg,washcloth is more brittle than egg.,pos,False,True,False,N/A,N/A
boolean,Brittleness,egg,washcloth is less brittle than egg.,neg,True,True,False,N/A,N/A
boolean,Brittleness,egg,egg is less brittle than washcloth.,neg,False,True,False,N/A,N/A
boolean,Brittleness,eclair,eclair is more brittle than bulletin_board.,pos,True,True,False,N/A,N/A
boolean,Brittleness,eclair,bulletin_board is more brittle than eclair.,pos,False,True,False,N/A,N/A
boolean,Brittleness,eclair,bulletin_board is less brittle than eclair.,neg,True,True,False,N/A,N/A
boolean,Brittleness,eclair,eclair is less brittle than bulletin_board.,neg,False,True,False,N/A,N/A
boolean,Brittleness,hamburger,hamburger is more brittle than watchband.,pos,True,True,False,N/A,N/A
boolean,Brittleness,hamburger,watchband is more brittle than hamburger.,pos,False,True,False,N/A,N/A
boolean,Brittleness,hamburger,watchband is less brittle than hamburger.,neg,True,True,False,N/A,N/A
boolean,Brittleness,hamburger,hamburger is less brittle than watchband.,neg,False,True,False,N/A,N/A
boolean,Brittleness,hand_glass,hand_glass is more brittle than bunk_bed.,pos,True,True,False,N/A,N/A
boolean,Brittleness,hand_glass,bunk_bed is more brittle than hand_glass.,pos,False,True,False,N/A,N/A
boolean,Brittleness,hand_glass,bunk_bed is less brittle than hand_glass.,neg,True,True,False,N/A,N/A
boolean,Brittleness,hand_glass,hand_glass is less brittle than bunk_bed.,neg,False,True,False,N/A,N/A
boolean,Brittleness,chinaware,chinaware is more brittle than chopstick.,pos,True,True,False,N/A,N/A
boolean,Brittleness,chinaware,chopstick is more brittle than chinaware.,pos,False,True,False,N/A,N/A
boolean,Brittleness,chinaware,chopstick is less brittle than chinaware.,neg,True,True,False,N/A,N/A
boolean,Brittleness,chinaware,chinaware is less brittle than chopstick.,neg,False,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,whipped_cream is more brittle than headscarf.,pos,True,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,headscarf is more brittle than whipped_cream.,pos,False,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,headscarf is less brittle than whipped_cream.,neg,True,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,whipped_cream is less brittle than headscarf.,neg,False,True,False,N/A,N/A
boolean,Brittleness,vodka,vodka is more brittle than cone.,pos,True,True,False,N/A,N/A
boolean,Brittleness,vodka,cone is more brittle than vodka.,pos,False,True,False,N/A,N/A
boolean,Brittleness,vodka,cone is less brittle than vodka.,neg,True,True,False,N/A,N/A
boolean,Brittleness,vodka,vodka is less brittle than cone.,neg,False,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,birthday_cake is more brittle than scrub_brush.,pos,True,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,scrub_brush is more brittle than birthday_cake.,pos,False,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,scrub_brush is less brittle than birthday_cake.,neg,True,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,birthday_cake is less brittle than scrub_brush.,neg,False,True,False,N/A,N/A
boolean,Brittleness,dinner_plate,dinner_plate is more brittle than sportswear.,pos,True,True,False,N/A,N/A
boolean,Brittleness,dinner_plate,sportswear is more brittle than dinner_plate.,pos,False,True,False,N/A,N/A
boolean,Brittleness,dinner_plate,sportswear is less brittle than dinner_plate.,neg,True,True,False,N/A,N/A
boolean,Brittleness,dinner_plate,dinner_plate is less brittle than sportswear.,neg,False,True,False,N/A,N/A
boolean,Brittleness,aquarium,aquarium is more brittle than beanie.,pos,True,True,False,N/A,N/A
boolean,Brittleness,aquarium,beanie is more brittle than aquarium.,pos,False,True,False,N/A,N/A
boolean,Brittleness,aquarium,beanie is less brittle than aquarium.,neg,True,True,False,N/A,N/A
boolean,Brittleness,aquarium,aquarium is less brittle than beanie.,neg,False,True,False,N/A,N/A
boolean,Brittleness,vodka,vodka is more brittle than mallet.,pos,True,True,False,N/A,N/A
boolean,Brittleness,vodka,mallet is more brittle than vodka.,pos,False,True,False,N/A,N/A
boolean,Brittleness,vodka,mallet is less brittle than vodka.,neg,True,True,False,N/A,N/A
boolean,Brittleness,vodka,vodka is less brittle than mallet.,neg,False,True,False,N/A,N/A
boolean,Brittleness,vodka,vodka is more brittle than shoe.,pos,True,True,False,N/A,N/A
boolean,Brittleness,vodka,shoe is more brittle than vodka.,pos,False,True,False,N/A,N/A
boolean,Brittleness,vodka,shoe is less brittle than vodka.,neg,True,True,False,N/A,N/A
boolean,Brittleness,vodka,vodka is less brittle than shoe.,neg,False,True,False,N/A,N/A
boolean,Brittleness,alcohol,alcohol is more brittle than steak_knife.,pos,True,True,False,N/A,N/A
boolean,Brittleness,alcohol,steak_knife is more brittle than alcohol.,pos,False,True,False,N/A,N/A
boolean,Brittleness,alcohol,steak_knife is less brittle than alcohol.,neg,True,True,False,N/A,N/A
boolean,Brittleness,alcohol,alcohol is less brittle than steak_knife.,neg,False,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,birthday_cake is more brittle than flannel.,pos,True,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,flannel is more brittle than birthday_cake.,pos,False,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,flannel is less brittle than birthday_cake.,neg,True,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,birthday_cake is less brittle than flannel.,neg,False,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,birthday_cake is more brittle than backpack.,pos,True,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,backpack is more brittle than birthday_cake.,pos,False,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,backpack is less brittle than birthday_cake.,neg,True,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,birthday_cake is less brittle than backpack.,neg,False,True,False,N/A,N/A
boolean,Brittleness,vodka,vodka is more brittle than keg.,pos,True,True,False,N/A,N/A
boolean,Brittleness,vodka,keg is more brittle than vodka.,pos,False,True,False,N/A,N/A
boolean,Brittleness,vodka,keg is less brittle than vodka.,neg,True,True,False,N/A,N/A
boolean,Brittleness,vodka,vodka is less brittle than keg.,neg,False,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,birthday_cake is more brittle than toothpaste.,pos,True,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,toothpaste is more brittle than birthday_cake.,pos,False,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,toothpaste is less brittle than birthday_cake.,neg,True,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,birthday_cake is less brittle than toothpaste.,neg,False,True,False,N/A,N/A
boolean,Brittleness,aquarium,aquarium is more brittle than drumstick.,pos,True,True,False,N/A,N/A
boolean,Brittleness,aquarium,drumstick is more brittle than aquarium.,pos,False,True,False,N/A,N/A
boolean,Brittleness,aquarium,drumstick is less brittle than aquarium.,neg,True,True,False,N/A,N/A
boolean,Brittleness,aquarium,aquarium is less brittle than drumstick.,neg,False,True,False,N/A,N/A
boolean,Brittleness,cupcake,cupcake is more brittle than racket.,pos,True,True,False,N/A,N/A
boolean,Brittleness,cupcake,racket is more brittle than cupcake.,pos,False,True,False,N/A,N/A
boolean,Brittleness,cupcake,racket is less brittle than cupcake.,neg,True,True,False,N/A,N/A
boolean,Brittleness,cupcake,cupcake is less brittle than racket.,neg,False,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,birthday_cake is more brittle than faucet.,pos,True,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,faucet is more brittle than birthday_cake.,pos,False,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,faucet is less brittle than birthday_cake.,neg,True,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,birthday_cake is less brittle than faucet.,neg,False,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,whipped_cream is more brittle than cleaning_implement.,pos,True,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,cleaning_implement is more brittle than whipped_cream.,pos,False,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,cleaning_implement is less brittle than whipped_cream.,neg,True,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,whipped_cream is less brittle than cleaning_implement.,neg,False,True,False,N/A,N/A
boolean,Brittleness,cookie,cookie is more brittle than shawl.,pos,True,True,False,N/A,N/A
boolean,Brittleness,cookie,shawl is more brittle than cookie.,pos,False,True,False,N/A,N/A
boolean,Brittleness,cookie,shawl is less brittle than cookie.,neg,True,True,False,N/A,N/A
boolean,Brittleness,cookie,cookie is less brittle than shawl.,neg,False,True,False,N/A,N/A
boolean,Brittleness,ice_cream,ice_cream is more brittle than place_mat.,pos,True,True,False,N/A,N/A
boolean,Brittleness,ice_cream,place_mat is more brittle than ice_cream.,pos,False,True,False,N/A,N/A
boolean,Brittleness,ice_cream,place_mat is less brittle than ice_cream.,neg,True,True,False,N/A,N/A
boolean,Brittleness,ice_cream,ice_cream is less brittle than place_mat.,neg,False,True,False,N/A,N/A
boolean,Brittleness,vodka,vodka is more brittle than almond.,pos,True,True,False,N/A,N/A
boolean,Brittleness,vodka,almond is more brittle than vodka.,pos,False,True,False,N/A,N/A
boolean,Brittleness,vodka,almond is less brittle than vodka.,neg,True,True,False,N/A,N/A
boolean,Brittleness,vodka,vodka is less brittle than almond.,neg,False,True,False,N/A,N/A
boolean,Brittleness,chinaware,chinaware is more brittle than leather.,pos,True,True,False,N/A,N/A
boolean,Brittleness,chinaware,leather is more brittle than chinaware.,pos,False,True,False,N/A,N/A
boolean,Brittleness,chinaware,leather is less brittle than chinaware.,neg,True,True,False,N/A,N/A
boolean,Brittleness,chinaware,chinaware is less brittle than leather.,neg,False,True,False,N/A,N/A
boolean,Brittleness,ice_cream,ice_cream is more brittle than scarf.,pos,True,True,False,N/A,N/A
boolean,Brittleness,ice_cream,scarf is more brittle than ice_cream.,pos,False,True,False,N/A,N/A
boolean,Brittleness,ice_cream,scarf is less brittle than ice_cream.,neg,True,True,False,N/A,N/A
boolean,Brittleness,ice_cream,ice_cream is less brittle than scarf.,neg,False,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,whipped_cream is more brittle than vest.,pos,True,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,vest is more brittle than whipped_cream.,pos,False,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,vest is less brittle than whipped_cream.,neg,True,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,whipped_cream is less brittle than vest.,neg,False,True,False,N/A,N/A
boolean,Brittleness,ice_cream,ice_cream is more brittle than shaker.,pos,True,True,False,N/A,N/A
boolean,Brittleness,ice_cream,shaker is more brittle than ice_cream.,pos,False,True,False,N/A,N/A
boolean,Brittleness,ice_cream,shaker is less brittle than ice_cream.,neg,True,True,False,N/A,N/A
boolean,Brittleness,ice_cream,ice_cream is less brittle than shaker.,neg,False,True,False,N/A,N/A
boolean,Brittleness,egg,egg is more brittle than parchment.,pos,True,True,False,N/A,N/A
boolean,Brittleness,egg,parchment is more brittle than egg.,pos,False,True,False,N/A,N/A
boolean,Brittleness,egg,parchment is less brittle than egg.,neg,True,True,False,N/A,N/A
boolean,Brittleness,egg,egg is less brittle than parchment.,neg,False,True,False,N/A,N/A
boolean,Brittleness,shot_glass,shot_glass is more brittle than knob.,pos,True,True,False,N/A,N/A
boolean,Brittleness,shot_glass,knob is more brittle than shot_glass.,pos,False,True,False,N/A,N/A
boolean,Brittleness,shot_glass,knob is less brittle than shot_glass.,neg,True,True,False,N/A,N/A
boolean,Brittleness,shot_glass,shot_glass is less brittle than knob.,neg,False,True,False,N/A,N/A
boolean,Brittleness,cake,cake is more brittle than mitten.,pos,True,True,False,N/A,N/A
boolean,Brittleness,cake,mitten is more brittle than cake.,pos,False,True,False,N/A,N/A
boolean,Brittleness,cake,mitten is less brittle than cake.,neg,True,True,False,N/A,N/A
boolean,Brittleness,cake,cake is less brittle than mitten.,neg,False,True,False,N/A,N/A
boolean,Brittleness,cake,cake is more brittle than ribbon.,pos,True,True,False,N/A,N/A
boolean,Brittleness,cake,ribbon is more brittle than cake.,pos,False,True,False,N/A,N/A
boolean,Brittleness,cake,ribbon is less brittle than cake.,neg,True,True,False,N/A,N/A
boolean,Brittleness,cake,cake is less brittle than ribbon.,neg,False,True,False,N/A,N/A
boolean,Brittleness,hamburger,hamburger is more brittle than booklet.,pos,True,True,False,N/A,N/A
boolean,Brittleness,hamburger,booklet is more brittle than hamburger.,pos,False,True,False,N/A,N/A
boolean,Brittleness,hamburger,booklet is less brittle than hamburger.,neg,True,True,False,N/A,N/A
boolean,Brittleness,hamburger,hamburger is less brittle than booklet.,neg,False,True,False,N/A,N/A
boolean,Brittleness,disk,disk is more brittle than cabinet.,pos,True,True,False,N/A,N/A
boolean,Brittleness,disk,cabinet is more brittle than disk.,pos,False,True,False,N/A,N/A
boolean,Brittleness,disk,cabinet is less brittle than disk.,neg,True,True,False,N/A,N/A
boolean,Brittleness,disk,disk is less brittle than cabinet.,neg,False,True,False,N/A,N/A
boolean,Brittleness,egg_yolk,egg_yolk is more brittle than jacket.,pos,True,True,False,N/A,N/A
boolean,Brittleness,egg_yolk,jacket is more brittle than egg_yolk.,pos,False,True,False,N/A,N/A
boolean,Brittleness,egg_yolk,jacket is less brittle than egg_yolk.,neg,True,True,False,N/A,N/A
boolean,Brittleness,egg_yolk,egg_yolk is less brittle than jacket.,neg,False,True,False,N/A,N/A
boolean,Brittleness,egg_yolk,egg_yolk is more brittle than blanket.,pos,True,True,False,N/A,N/A
boolean,Brittleness,egg_yolk,blanket is more brittle than egg_yolk.,pos,False,True,False,N/A,N/A
boolean,Brittleness,egg_yolk,blanket is less brittle than egg_yolk.,neg,True,True,False,N/A,N/A
boolean,Brittleness,egg_yolk,egg_yolk is less brittle than blanket.,neg,False,True,False,N/A,N/A
boolean,Brittleness,hand_glass,hand_glass is more brittle than sack.,pos,True,True,False,N/A,N/A
boolean,Brittleness,hand_glass,sack is more brittle than hand_glass.,pos,False,True,False,N/A,N/A
boolean,Brittleness,hand_glass,sack is less brittle than hand_glass.,neg,True,True,False,N/A,N/A
boolean,Brittleness,hand_glass,hand_glass is less brittle than sack.,neg,False,True,False,N/A,N/A
boolean,Brittleness,beaker,beaker is more brittle than lab_coat.,pos,True,True,False,N/A,N/A
boolean,Brittleness,beaker,lab_coat is more brittle than beaker.,pos,False,True,False,N/A,N/A
boolean,Brittleness,beaker,lab_coat is less brittle than beaker.,neg,True,True,False,N/A,N/A
boolean,Brittleness,beaker,beaker is less brittle than lab_coat.,neg,False,True,False,N/A,N/A
boolean,Brittleness,camera_lens,camera_lens is more brittle than baseball_bat.,pos,True,True,False,N/A,N/A
boolean,Brittleness,camera_lens,baseball_bat is more brittle than camera_lens.,pos,False,True,False,N/A,N/A
boolean,Brittleness,camera_lens,baseball_bat is less brittle than camera_lens.,neg,True,True,False,N/A,N/A
boolean,Brittleness,camera_lens,camera_lens is less brittle than baseball_bat.,neg,False,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,birthday_cake is more brittle than blanket.,pos,True,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,blanket is more brittle than birthday_cake.,pos,False,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,blanket is less brittle than birthday_cake.,neg,True,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,birthday_cake is less brittle than blanket.,neg,False,True,False,N/A,N/A
boolean,Brittleness,egg,egg is more brittle than garment.,pos,True,True,False,N/A,N/A
boolean,Brittleness,egg,garment is more brittle than egg.,pos,False,True,False,N/A,N/A
boolean,Brittleness,egg,garment is less brittle than egg.,neg,True,True,False,N/A,N/A
boolean,Brittleness,egg,egg is less brittle than garment.,neg,False,True,False,N/A,N/A
boolean,Brittleness,dinner_plate,dinner_plate is more brittle than teddy.,pos,True,True,False,N/A,N/A
boolean,Brittleness,dinner_plate,teddy is more brittle than dinner_plate.,pos,False,True,False,N/A,N/A
boolean,Brittleness,dinner_plate,teddy is less brittle than dinner_plate.,neg,True,True,False,N/A,N/A
boolean,Brittleness,dinner_plate,dinner_plate is less brittle than teddy.,neg,False,True,False,N/A,N/A
boolean,Brittleness,camera_lens,camera_lens is more brittle than drumstick.,pos,True,True,False,N/A,N/A
boolean,Brittleness,camera_lens,drumstick is more brittle than camera_lens.,pos,False,True,False,N/A,N/A
boolean,Brittleness,camera_lens,drumstick is less brittle than camera_lens.,neg,True,True,False,N/A,N/A
boolean,Brittleness,camera_lens,camera_lens is less brittle than drumstick.,neg,False,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,whipped_cream is more brittle than kitchen_sink.,pos,True,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,kitchen_sink is more brittle than whipped_cream.,pos,False,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,kitchen_sink is less brittle than whipped_cream.,neg,True,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,whipped_cream is less brittle than kitchen_sink.,neg,False,True,False,N/A,N/A
boolean,Brittleness,shot_glass,shot_glass is more brittle than milkshake.,pos,True,True,False,N/A,N/A
boolean,Brittleness,shot_glass,milkshake is more brittle than shot_glass.,pos,False,True,False,N/A,N/A
boolean,Brittleness,shot_glass,milkshake is less brittle than shot_glass.,neg,True,True,False,N/A,N/A
boolean,Brittleness,shot_glass,shot_glass is less brittle than milkshake.,neg,False,True,False,N/A,N/A
boolean,Brittleness,shot_glass,shot_glass is more brittle than kitchen_sink.,pos,True,True,False,N/A,N/A
boolean,Brittleness,shot_glass,kitchen_sink is more brittle than shot_glass.,pos,False,True,False,N/A,N/A
boolean,Brittleness,shot_glass,kitchen_sink is less brittle than shot_glass.,neg,True,True,False,N/A,N/A
boolean,Brittleness,shot_glass,shot_glass is less brittle than kitchen_sink.,neg,False,True,False,N/A,N/A
boolean,Brittleness,hand_glass,hand_glass is more brittle than bandage.,pos,True,True,False,N/A,N/A
boolean,Brittleness,hand_glass,bandage is more brittle than hand_glass.,pos,False,True,False,N/A,N/A
boolean,Brittleness,hand_glass,bandage is less brittle than hand_glass.,neg,True,True,False,N/A,N/A
boolean,Brittleness,hand_glass,hand_glass is less brittle than bandage.,neg,False,True,False,N/A,N/A
boolean,Brittleness,chocolate_cake,chocolate_cake is more brittle than canteen.,pos,True,True,False,N/A,N/A
boolean,Brittleness,chocolate_cake,canteen is more brittle than chocolate_cake.,pos,False,True,False,N/A,N/A
boolean,Brittleness,chocolate_cake,canteen is less brittle than chocolate_cake.,neg,True,True,False,N/A,N/A
boolean,Brittleness,chocolate_cake,chocolate_cake is less brittle than canteen.,neg,False,True,False,N/A,N/A
boolean,Brittleness,shot_glass,shot_glass is more brittle than tassel.,pos,True,True,False,N/A,N/A
boolean,Brittleness,shot_glass,tassel is more brittle than shot_glass.,pos,False,True,False,N/A,N/A
boolean,Brittleness,shot_glass,tassel is less brittle than shot_glass.,neg,True,True,False,N/A,N/A
boolean,Brittleness,shot_glass,shot_glass is less brittle than tassel.,neg,False,True,False,N/A,N/A
boolean,Brittleness,cookie,cookie is more brittle than shears.,pos,True,True,False,N/A,N/A
boolean,Brittleness,cookie,shears is more brittle than cookie.,pos,False,True,False,N/A,N/A
boolean,Brittleness,cookie,shears is less brittle than cookie.,neg,True,True,False,N/A,N/A
boolean,Brittleness,cookie,cookie is less brittle than shears.,neg,False,True,False,N/A,N/A
boolean,Brittleness,hand_glass,hand_glass is more brittle than kettle.,pos,True,True,False,N/A,N/A
boolean,Brittleness,hand_glass,kettle is more brittle than hand_glass.,pos,False,True,False,N/A,N/A
boolean,Brittleness,hand_glass,kettle is less brittle than hand_glass.,neg,True,True,False,N/A,N/A
boolean,Brittleness,hand_glass,hand_glass is less brittle than kettle.,neg,False,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,whipped_cream is more brittle than mask.,pos,True,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,mask is more brittle than whipped_cream.,pos,False,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,mask is less brittle than whipped_cream.,neg,True,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,whipped_cream is less brittle than mask.,neg,False,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,birthday_cake is more brittle than notebook.,pos,True,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,notebook is more brittle than birthday_cake.,pos,False,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,notebook is less brittle than birthday_cake.,neg,True,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,birthday_cake is less brittle than notebook.,neg,False,True,False,N/A,N/A
boolean,Brittleness,hamburger,hamburger is more brittle than kettle.,pos,True,True,False,N/A,N/A
boolean,Brittleness,hamburger,kettle is more brittle than hamburger.,pos,False,True,False,N/A,N/A
boolean,Brittleness,hamburger,kettle is less brittle than hamburger.,neg,True,True,False,N/A,N/A
boolean,Brittleness,hamburger,hamburger is less brittle than kettle.,neg,False,True,False,N/A,N/A
boolean,Brittleness,camera_lens,camera_lens is more brittle than bait.,pos,True,True,False,N/A,N/A
boolean,Brittleness,camera_lens,bait is more brittle than camera_lens.,pos,False,True,False,N/A,N/A
boolean,Brittleness,camera_lens,bait is less brittle than camera_lens.,neg,True,True,False,N/A,N/A
boolean,Brittleness,camera_lens,camera_lens is less brittle than bait.,neg,False,True,False,N/A,N/A
boolean,Brittleness,beaker,beaker is more brittle than dog_collar.,pos,True,True,False,N/A,N/A
boolean,Brittleness,beaker,dog_collar is more brittle than beaker.,pos,False,True,False,N/A,N/A
boolean,Brittleness,beaker,dog_collar is less brittle than beaker.,neg,True,True,False,N/A,N/A
boolean,Brittleness,beaker,beaker is less brittle than dog_collar.,neg,False,True,False,N/A,N/A
boolean,Brittleness,alcohol,alcohol is more brittle than keg.,pos,True,True,False,N/A,N/A
boolean,Brittleness,alcohol,keg is more brittle than alcohol.,pos,False,True,False,N/A,N/A
boolean,Brittleness,alcohol,keg is less brittle than alcohol.,neg,True,True,False,N/A,N/A
boolean,Brittleness,alcohol,alcohol is less brittle than keg.,neg,False,True,False,N/A,N/A
boolean,Brittleness,cake,cake is more brittle than latch.,pos,True,True,False,N/A,N/A
boolean,Brittleness,cake,latch is more brittle than cake.,pos,False,True,False,N/A,N/A
boolean,Brittleness,cake,latch is less brittle than cake.,neg,True,True,False,N/A,N/A
boolean,Brittleness,cake,cake is less brittle than latch.,neg,False,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,whipped_cream is more brittle than booklet.,pos,True,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,booklet is more brittle than whipped_cream.,pos,False,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,booklet is less brittle than whipped_cream.,neg,True,True,False,N/A,N/A
boolean,Brittleness,whipped_cream,whipped_cream is less brittle than booklet.,neg,False,True,False,N/A,N/A
boolean,Brittleness,chocolate_mousse,chocolate_mousse is more brittle than cone.,pos,True,True,False,N/A,N/A
boolean,Brittleness,chocolate_mousse,cone is more brittle than chocolate_mousse.,pos,False,True,False,N/A,N/A
boolean,Brittleness,chocolate_mousse,cone is less brittle than chocolate_mousse.,neg,True,True,False,N/A,N/A
boolean,Brittleness,chocolate_mousse,chocolate_mousse is less brittle than cone.,neg,False,True,False,N/A,N/A
boolean,Brittleness,egg,egg is more brittle than notebook.,pos,True,True,False,N/A,N/A
boolean,Brittleness,egg,notebook is more brittle than egg.,pos,False,True,False,N/A,N/A
boolean,Brittleness,egg,notebook is less brittle than egg.,neg,True,True,False,N/A,N/A
boolean,Brittleness,egg,egg is less brittle than notebook.,neg,False,True,False,N/A,N/A
boolean,Brittleness,ice_cream,ice_cream is more brittle than pocketknife.,pos,True,True,False,N/A,N/A
boolean,Brittleness,ice_cream,pocketknife is more brittle than ice_cream.,pos,False,True,False,N/A,N/A
boolean,Brittleness,ice_cream,pocketknife is less brittle than ice_cream.,neg,True,True,False,N/A,N/A
boolean,Brittleness,ice_cream,ice_cream is less brittle than pocketknife.,neg,False,True,False,N/A,N/A
boolean,Brittleness,ice_cream,ice_cream is more brittle than hardback.,pos,True,True,False,N/A,N/A
boolean,Brittleness,ice_cream,hardback is more brittle than ice_cream.,pos,False,True,False,N/A,N/A
boolean,Brittleness,ice_cream,hardback is less brittle than ice_cream.,neg,True,True,False,N/A,N/A
boolean,Brittleness,ice_cream,ice_cream is less brittle than hardback.,neg,False,True,False,N/A,N/A
boolean,Brittleness,soup_bowl,soup_bowl is more brittle than ribbon.,pos,True,True,False,N/A,N/A
boolean,Brittleness,soup_bowl,ribbon is more brittle than soup_bowl.,pos,False,True,False,N/A,N/A
boolean,Brittleness,soup_bowl,ribbon is less brittle than soup_bowl.,neg,True,True,False,N/A,N/A
boolean,Brittleness,soup_bowl,soup_bowl is less brittle than ribbon.,neg,False,True,False,N/A,N/A
boolean,Brittleness,egg,egg is more brittle than dog_collar.,pos,True,True,False,N/A,N/A
boolean,Brittleness,egg,dog_collar is more brittle than egg.,pos,False,True,False,N/A,N/A
boolean,Brittleness,egg,dog_collar is less brittle than egg.,neg,True,True,False,N/A,N/A
boolean,Brittleness,egg,egg is less brittle than dog_collar.,neg,False,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,birthday_cake is more brittle than apron.,pos,True,True,False,N/A,N/A
boolean,Brittleness,birthday_cake,apron is more brittle than birthday_cake.,pos,False,True,False,N/A,N/A
